pubkey,votekey,dz_fee_lamports_926,dz_fee_lamports_927,dz_fee_lamports_928,dz_fee_lamports_929,dz_fee_lamports_930,previous_fees,paid_926,paid_927,paid_928,paid_929,paid_930,previous_paid
kREnNfJrPEHbrjSQDxmxZdGmN6hi7ewXZ3UZTURshrk,FH5SX1WUubW9nD1rweZMofCHGhEp8qUMx3PksLfshrk,0,0,0,0,0,1888048171,NA,NA,NA,NA,NA,567054607
kom1oNHyyt84XLGVfi5Jo1qkVkU5xG1sBxPG19rWknE,25quQGzrtcU224Kk7G5YDJ9oJXgYsiur8pZ7pAnCMhhV,116059029,189829844,272719289,305876910,223300935,4098814891,Yes,Yes,Yes,Yes,No,3927445211
kyzzzgRymGpePUsLyr48kQHt53kh5CSfRH1qfvz1xgj,kyvvvkDpDCtSxQMPhzRhmv14DgUBVEGGzn8Dnb8ircP,74627571,69934926,71248118,69544240,51760498,3498550067,Yes,Yes,Yes,Yes,No,3498550067
mALL2W6DUgDDtcyurC9v5YTF2CMMeuRwPBkf6tEoG3y,mALLoAbdQrgsnm7kWJyPrhcQcmxfT73t8DaqEkpZNd6,42829242,80461505,107998201,58740045,82677539,4810937334,Yes,Yes,Yes,Yes,No,4810937334
mD1afZhSisoXfJLT8nYwSFANqjr1KPoDUEpYTEfFX1e,4PL2ZFoZJHgkbZ54US4qNC58X69Fa1FKtY4CaVKeuQPg,221224840,437320245,381527771,252342478,244333781,1396693794,Yes,Yes,Yes,Yes,No,1396693794
mHtqTQHaUcFjSZF6tGLNLsHLvjVsxXEK8w3BoT9eLAT,B9aUcoqmbxJgbPb28oVoZg6WsXUj6Hf6Wu5P7CUbJ6NU,0,0,0,0,0,1185759102,NA,NA,NA,NA,NA,969317590
makot6hiF2ZEWy1yPF5otx73VuXpP5SCUeCbZiiGSt4,mak1EDQANhaKaDiNZeShT2GWe51cXgYZWCYpzV4Gzvk,0,0,0,0,0,1886967971,NA,NA,NA,NA,NA,1071048526
meshRrDTME9cL2FSQ9E56EncfkZ7vL8apwcCFsw3o6Y,mesh3Px7WMi7Dkxke4ZZBULoKHM6sp37wKtg4DwPqPY,145023553,149477217,136644340,135657863,157527836,8123768291,Yes,Yes,Yes,Yes,No,8123768291
mint13XHZSSxtgHuTSM9qPDEJSbWktpmpM4CZxeLB8f,mintrNtxN3PhAB45Pt41XqyKghTTpqcoBkQTZqh96iR,421501709,644046178,769518180,685982288,538720194,14769250640,Yes,Yes,Yes,Yes,No,14769250640
movJfS8W7z4PzZJbanwt2DDSN3NbZSyadbDp8DnqbAP,movwsCDJfXrt5mPfVdTC9u8pETrTysEdFxicvbZUxTz,0,0,0,0,0,98393147,NA,NA,NA,NA,NA,98393147
mrgn28BhocwdAUEenen3Sw2MR9cPKDpLkDvzDdR7DBD,mrgn2vsZ5EJ8YEfAMNPXmRux7th9cNfBasQ1JJvVwPn,0,0,0,0,0,10793178713,NA,NA,NA,NA,NA,10793178713
mrgn4sJJu5GBa5wbKyjuASzhyCifvcedGoLtpKjB3Wf,mrgn4t2JabSgvGnrCaHXMvz8ocr4F52scsxJnkQMQsQ,623512137,908680264,1082637716,951524366,477946720,31406551220,Yes,Yes,Yes,No,No,31406551220
mythxvB89eT3C1TKwwhsvdHfYq2aoCt2es8vLoDFYyk,mythxna3hpzXSbaseyR12vu5Vvym1HxS92eCgXLvY7w,86096304,89556778,89965939,71597788,70273417,5910347571,Yes,Yes,Yes,Yes,No,5910347571
nSGZ3tv2UhskkPqiB666yDVj7PTi9qKgDqvjHyw5JgM,AY271jdvcyo5VzBiWsMGLEjpZFFrarq8FDydJHLmYgCG,228034454,199266007,467273581,277149262,389452829,11384301756,Yes,Yes,Yes,Yes,No,11384301756
nateKhsYkrVc992UuTfAhEEFQqr2zQfpGg9RafNkxdC,nateBZg7oHVPLB2samBLkKvfzedU3ALZBexMFPMKjn1,114601972,193845791,176913609,200461738,122239853,10723032066,Yes,Yes,Yes,Yes,No,10723032066
nebu15XQKGpxzhhckADBX9PgvGN5qk9RRJCFLKc118w,nebu1WnZBrFZz5X7sfPWuEqyb8LBSsrXpxaesnK9CRE,232286306,810269487,166306597,176529153,321476521,6399675002,No,No,No,No,No,4857415618
noMiSMNpN3iGeX3WdF5M2KQdFUQt2RYYpfJ4dN1Ni3k,noMiSdYbNQmFDrH2qMvYRXXzb5DUvjyPyDkXadzAPUV,0,133708866,434612222,163185965,147937491,6167386849,NA,Yes,Yes,Yes,No,6167386849
nodeEgRVkbYLAQePtMx2zCN7CGw7qRgzKMCBtjMfN1D,Node56Cr7y4Udym2vPt9DsRbWcBL29JivsGh2drpbKb,0,0,0,0,0,6615822293,NA,NA,NA,NA,NA,5138404715
novaeuhY2JH2WHhc9KVTHDx2cyJZdXJC6faf4CtARZn,novaoLcuVHSudkW3Cphuhiv82vspN5qzinGCtEbwQxz,135200689,96484635,152724661,123067662,122404893,7341107097,Yes,Yes,Yes,Yes,No,7341107097
nxts9SpchNGqWHRB3zmhskt434MCbUUwkeUcs6xX5oe,nxtHdSDmUZ8dWTC7KuPp8ZLxVVxhim4RCL4pmaQnLFA,0,0,0,0,0,97097456,NA,NA,NA,NA,NA,0
nymsHergYedT9CJMgtGMvqXUTGcbs5o3MiWTJUbqTGY,nymsndUdAZyUPpWYz5VEg8Ghj9cFvwTRgciLogpmYaQ,437671758,551769223,717555312,592581642,1081671700,24451124259,Yes,Yes,Yes,No,No,24451124259
oPaLtitM6cwpFVzP2rDhLsJLdY2vcbuZiJJyD1TFUKs,oPaLTmyvoUhW26QCMwLA5JNUeBYy72PDpFoXQF8SeX4,935653092,1313098260,1476332983,1529470419,1561930801,57577985363,Yes,Yes,Yes,No,No,57577985363
odcvDWH5wHVKz9XtmGGxTj5ZsmawTjCCty3nyBKDGzS,odc2aCE7yWTcV8ApP1cHmVqQZTkLNduqaYyKE1XhpE3,19893228,52249039,60084831,85900783,112760088,5655324320,Yes,Yes,Yes,Yes,No,5655324320
pSoLoZx55zZz61gjxSTwHtwTg4yTwdm7ruBmyjbYgT2,BU5CXmHhXwZfSYwFjCjqAqdbu7MTUsiKLUj45RSXiPsE,1905900505,2559488240,4202641459,2753631784,2992047646,14351054095,No,No,No,No,No,2403122042
parafiUS6h6oLhCFwhjvEmQJKw8pF1iXsxMJdTq46dS,pt1LsjkNwqCKdYYfc35ToDkqtEG9pswLTJNaMo8inft,0,0,0,0,0,2374185065,NA,NA,NA,NA,NA,463624283
parayLyZvwnGjDT2pGqrVn8UDxmNcdNQCE8uPRWMeRz,ParaCzYN8KHz4B7xsSeEpmTyE5EBjpWifbpSfsDkiTq,26897675,34228253,77535606,24736628,74087719,3138172851,Yes,Yes,Yes,Yes,No,3002230735
peNgUgnzs1jGogUPW8SThXMvzNpzKSNf3om78xVPAYx,pENgUh4K9zNacyU3PXVE9KugW98XCqZsWpEvA8d8wzX,275651614,176900285,343579285,279500012,237084834,6873063302,Yes,Yes,Yes,Yes,No,6873063302
phz1CRbEsCtFCh2Ro5tjyu588VU1WPMwW9BJS9yFNn2,phz34EcgWRCT9otPzRS2JtSzVHxQJk4SovqJvV1TQk8,278927919,365036065,477797184,465227989,365838582,20311330137,Yes,Yes,Yes,Yes,No,20311330137
pidrcoD3t88h8MzJU2EACHL8A6iMoQqwueXPA8KLwUS,Hoo2PaowEdA1owJ4t6uJFGdSbgyWV5qGYRtTVChHgw3x,0,0,0,0,0,155269366,NA,NA,NA,NA,NA,59662936
pineXRUnbaLNFMxaM3zBmFfTiKgQMGqT9jYHXZWq2Fw,pine9rHVDS1pjwdhYkx3vRyaAyRd5KPDKXZEXAqvxcX,73968805,74334281,107234900,69795378,142925172,3354902140,Yes,Yes,Yes,Yes,No,3354902140
pitMDEaMmWmr7qP8HsNqarPQkd3jhZbLJibhhQnL5RG,BLX5PkLh7GsHaqCpLDxiW3UjxfT2GMyteVAhRZBYhCts,91002114,115716684,134008285,111775267,103333795,6783135667,Yes,Yes,Yes,Yes,No,6783135667
pitch9cMruwjDtAnisNS4mwZUPhMsBztNEGu2weMg55,P1TCHYwYPsNaNUK6fGkZzwXPjnYAMYRnUUv4c1TREee,84311719,37384404,47141733,24895918,32661515,2515298926,Yes,No,No,No,No,2515298926
popscoyTKVksa4TyTXw488b3vvFxM7qQEyTBeMQopKu,HLM6hyDWrEca9QMS92nDBa2AreU1qDkppttPVuJ7E2CU,312778827,281264011,319138462,293778518,355259889,11775745592,Yes,Yes,Yes,Yes,No,11775745592
ppppoqHcHVzigV6SK4856BAsNxhTAi32hqQQWrziyHE,vvvvXsU6iG2enDVvs4KeVqS4YrZczTujSv5p3dSeNHx,84821002,55552874,47933914,46242022,75851371,6468937426,Yes,Yes,Yes,Yes,No,6468937426
privaEdSEmnMPGPoQACUkcDGkFBbTArVvsEGd7C5wUM,privSGy4XbFCjzEkdLXssV8xMWRWWiWbJeDzh1emUyL,0,0,0,3321106690,2701604487,0,NA,NA,NA,No,No,0
prt1st4RSxAt32ams4zsXCe1kavzmKeoR7eh1sdYRXW,prt1s9dMM15LdsUX9HugajzqPB5WVN8a2mw3frAiCfj,48665441,125041611,81352313,63437689,120399248,3617382114,Yes,Yes,Yes,Yes,No,3617382114
puffinQSvKFriPbyE5atyx1ptfnyytovbzxybr1jsyy,PUFFiNkUHF2DMfbKeUcYTSQckDDtkswfxZCDv5WQqwp,309883424,305555162,423056860,619058305,359556595,19013076470,Yes,Yes,Yes,Yes,No,19013076470
q1yPXLsYcJhzxhUYLewFDjYmsBh2gDFnYqrZ9VPshrk,FRqYRkp3tUoBc62pnabeX8SVr6p3v6HM2tzT2NVshrk,0,0,0,0,0,2158776449,NA,NA,NA,NA,NA,635745025
