"pubkey","votekey","stake","commission","mev_commission","inflation","mev_rewards","block_rewards","dz_fee"
"5ZqveVffQPiUbkjBg4KD9kib1MKHLqiFno4ke9jSq9qk","EcEowA4GKDsdVBF9PNAZa6c9M4WgYG8y4GnpZSUaqioS",1658847.53193863,100,100,580.453344556,10.372921214,37.622283971,1.88111419855
"C1ocKDYMCm2ooWptMMnpd5VEB2Nx4UMJgRuYofysyzcA","AS3nKBQfKs8fJ8ncyHrdvo4FDT6S8HMRhD75JjCcyr1t",1622360.555453,0,0,206.835927162,45.85542523,46.818073187,2.34090365935
"FZ4MT1HYJHd9GK8D5mJ9f3r7irLaDL5NxBNLjGqrLqs9","FuvD3qqrVjuh355sBs1u8bUS3aU8NgknymLskPvtAc6N",1569579.95735644,100,8,561.17631927,150.053982952,46.57344232,2.328672116
"LA1NEzryoih6CQW3gwQqJQffK2mKgnXcjSQZSRpM3wc","GE6atKoWiQ2pt3zL7N13pjNHjdLVys8LinG8qeJLcAiL",1528607.80934548,5,5,271.572381481,37.626292581,32.608104697,1.63040523485
"722RdWmHC5TGXBjTejzNjbc8xEiduVDLqZvoUGz6Xzbp","EXhYxF25PJEHb3v5G1HY8Jn8Jm7bRjJtaxEghGrUuhQw",1521139.76098644,6,100,235.621906618,10.754361585,41.902530772,2.0951265386
"9n1eEtJJfj1535NYfx524QcCG5aHbf5DH7ejqBrFLBwG","FbDPRNQZkCuDGsAbmRj1JbbXLzCiU6K8hSWRrL9RZqct",1501317.4880073,1,0,5.36598006,8.97535393,32.648252798,1.6324126399
"7cVfgArCheMR6Cs4t6vz5rfnqd56vZq4ndaBrY5xkxXy","FQwewNXahV7MiZcLpY6p1xhUs2acVGQ3U5Xxc7FzV571",1500398.47360833,6,6,231.132270713,10.568850062,36.273423589,1.81367117945
"PUmpKiNnSVAZ3w4KaFX6jKSjXUNHFShGkXbERo54xjb","DsiG71AvUHUEo9rMMHqM9NAWQ6ptguRAHyot6wGzLJjx",1460885.93010362,0,0,90.129341925,23.563150895,27.158341595,1.35791707975
"G2TBEh2ahNGS9tGnuBNyDduNjyfUtGhMcssgRb8b6KfH","F5b1wSUtpaYDnpjLQonCZC7iyFvizLcNqTactZbwSEXK",1371207.36434673,0,0,167.888254681,8.341461561,30.43522454,1.521761227
"6WgdYhhGE53WrZ7ywJA15hBVkw7CRbQ8yDBBTwmBtAHN","6aow5rTURdbhbeMDrFrbP2GR5vZjMEhktEy87iH1VGPs",1360785.14677106,10,8,300.57686332,8.650065669,34.761699625,1.73808498125
"CoG8d9Fp2TFJRkAmrPMiPsGhQWHzdTTVoegEp9svRgmJ","2NxEEbhqqj1Qptq5LXLbDTP5tLa9f7PqkU8zNgxbGU9P",1340605.44717205,0,0,231.182374725,6.624886609,34.103553021,1.70517765105
"Certusm1sa411sMpV9FPqU5dXAYhmmhygvxJ23S6hJ24","CertusDeBmqN8ZawdkxK5kFGMwBXdudvWHYwtNgNhvLu",1321982.77773298,5,30,143.88813564,38.82360984,40.870007066,2.0435003533
"GoLd56YQz8nJQnCsPFw8g5hcxrNaQBvCfAgbtwYFLbd","CaBaLhyhzBx3oiEUxUPvwmAG4bSYCM4Emb1NiWJJS5mr",1279125.53560917,0,0,293.366973291,26.352284902,36.83694383,1.8418471915
"GYx8kpp7SsRwtQEEsGQjAxb4hFMMmT91kFJuDeky3YGQ","7jPqpHuN5v59dtBom2tjmYEfi6WaM4sFtJeTD6fzhcdS",1265583.41373999,100,100,452.484694231,25.338488591,29.227841209,1.46139206045
"A9mvukTd77EbRoBX4ydSCFQHdu5bsRFkNXTTRstA8FAC","FsT844wGgZg7MLR9Uc9T9qHQxmSoFVanhfgAEQvS966r",1262168.82406314,5,5,228.721388927,11.539037463,27.965550421,1.39827752105
"CfgRXmp1LEYr97EaT2RyoL2cSvtWgJh52Bes89RxVSoW","g5kwi5sFXQTx26jwetYK97ytvx1WpA1RWuQ82Afdzyn",1258044.23564506,0,0,3.6764e-05,8.479116761,36.730541401,1.83652707005
"6yFGGAgYpBxgYPuHW4rv7hJmhKrUiXKyHkpVGaYtKrwE","9jYFwBfbjYmvasFbJyES9apLJDTkwtbgSDRWanHEvcRw",1240683.15559996,5,5,192.029912573,37.764406553,37.512241607,1.87561208035
"8uJiHDJ1b7UDQ4KFsQGJXK9nUCkokdKRJymg1Wy9nxvM","5sMmkL4BXjU6vZXQxE3RquH2CR8v8Zbfi1EAAFxLfxMx",1238782.40435797,0,0,282.069262316,10.266016552,27.816991767,1.39084958835
"HLnodbYkL5PFA8hjAZDkm5pGzV7eLTvcs671AW2L6St9","7KVnUL45FH4N8Z7x1dnvJ7GzMx12cs81mS26mHzNjQPN",1223366.21712378,0,0,167.156932654,5.800509053,24.115159127,1.20575795635
"5Us18hLZPXJTS4QVuGSsUw137Dyd2tgBaem24Xsf5nBS","AzbQjKoLepbDS8C6hgkRY7UCRwbwZZ9HqdtnWyef9WjX",1207979.32490117,100,0,431.891668068,0,27.176750497,1.35883752485
"FWwwP9tNttSy9dJFxwf6ebXWfc6VJXqFNMTccrMiLFTH","5orRi4tMEGneZ9U2y381JnBEnsqFJDBSNQLhBn98Bkcv",1178853.16767554,0,0,16.28264108,9.470063001,27.45659775,1.3728298875
"ChorusmmK7i1AxXeiTtQgQZhQNiXYU84ULeaYF1EH15n","Chorus6Kis8tFHA7AowrPMcRJk3LbApHTYpgSNXzY5KE",1172223.98014738,8,50,205.920303643,31.032634713,31.740519881,1.58702599405
"ana2y2YvQ3ZPMwm6qhnN3nJoUSiT3qx5Pvetkq9xcfY","4AUED4uj6nSTuANzaAUnGBPJQRmhpDYDwoWJNkoUUBBW",1159697.56703507,0,0,179.980217974,37.027598478,31.458685527,1.57293427635
"7Zm1pE4FubFYZDyAQ5Labh3A4cxDcvve1s3WCRgEAZ84","XzMLju7T6BSSngmsPogeuryd6uswiimkPU87gB2chho",1154179.07728487,8,8,197.492654765,32.220844539,32.093787438,1.6046893719
"vu1sGn2f1Xim6voHNLt4nLn38zNkYdLasU7hEr1TC2D","6F5xdRXh2W3B2vhte12VG79JVUkUSLYrHydGX1SAadfZ",1149327.30641646,0,100,75.657223316,38.947954611,26.816329608,1.3408164804
"HzrEstnLfzsijhaD6z5frkSE2vWZEH5EUfn3bU9swo1f","DQ7D6ZRtKbBSxCcAunEkoTzQhCBKLPdzTjPRRnM6wo1f",1109042.03237414,7,100,28.075079601,8.564375592,26.760482682,1.3380241341
"6aDs9tUm2gErcPn2c1TZnp5cu2bQV9BzyuwW4baWQYd4","ERut3CwqVeoa616QBaoHc5jL52RpkXjZZZ7MeaMaCtLi",1072460.89141534,8,8,96.914474137,11.3190856,25.928343466,1.2964171733
"GmCxjmjKZoaKN1DKunbYq8RCYib94Nm3sHyncFfofaF5","7S9dHgoeMYvtShTjEC3x5D3THRDQz123WVGPseZsm3hm",1044586.38558461,0,0,0.049315062,9.14536912,24.524671157,1.22623355785
"AicQr2zCWBLiBwt2r6o7iTemmtyE7q5pTKyuuupbXEQA","Bkskrv38Kn7zJR5mvmbCDGn2M4Jyhzt2ZqwQXV6rYnXa",1017255.32527355,100,100,363.701090559,6.622446685,26.031701324,1.3015850662
"rubyWZkfnjG716rx69n2oCAhevVZaMRQunir9VQcY2E","RuBYsjLeJYtWXbabcxPbNcbbFXQvMLrJGutpcqVRomz",1010660.22337,0,0,7.28e-07,18.099175376,25.439702384,1.2719851192
"GUdrZwgTRwZdcZ9fTEhj37jJSSfBHvV9wpCY8u9837Ju","GFWtwTkSkgc9RcAUkUxs7LyZ124DsBtcSnWGWwbrA113",1009520.45598398,10,10,167.216421561,48.56315252,41.5769689,2.078848445
"4mtXJ5pUcMMB4t8cLbi7zfDJCHfYLRrQb4qSLmh57sKL","94qeNkhspb7DjuqNPcGUgVcnnsNuibGYuqNTvm9FnX9m",1007124.64981206,10,10,77.333922368,38.037742224,43.893661155,2.19468305775
"CwyVpfmfSiMeCexi3JgUNvaiDfYN14cLDjzT99zcBuD2","8uEgdseqbUrDLfmHbUpTHoH1LLRxeViYDk7K6NdXKRYM",1003385.1184429,0,0,260.542365188,8.222766553,27.154039434,1.3577019717
"84gC25fbFKYueR9WEfreUysk1n3ZFxLFDDjbyqeqGpoW","FpTQXdt7NjYsJWXaE9UgG2yPUshoFiW3nzXbXKz1CjKh",1000702.83950177,10,10,80.801782585,34.775701168,34.309206212,1.7154603106
"8tjFeSApQ85ThoQXT28acfF2KUfQr3TvTdirSkzNnYC7","AtvnDGvf7Dd4AUA7iihx3hV8598skHejZTn2YTNV6AMF",948786.003443662,0,0,53.415417898,7.38889237,23.900805308,1.1950402654
"58KprHKFNHgH1Cvo4QwxWkDeJNaSQVteCoAAFUWjtESn","3tUZu4CkwMLwYdosoGc85n48VgDMyxZVkL1VUJc7DrxW",943087.313904901,0,0,14.82258949,8.942343565,20.927204912,1.0463602456
"CXPeim1wQMkcTvEHx9QdhgKREYYJD8bnaCCqPRwJ1to1","J1to1yufRnoWn81KYg1XkTWzmKjnYSnmE2VY8DGUJ9Qv",939924.009503069,4,8,94.576818996,9.797585393,25.081998335,1.25409991675
"5TGfVQV1S3wHE9hkgGaQkRoPC7xZxiqwMcjQZxVYsf1j","LSTmLs1DENX82ihc7jU134mydiV3NDEPXsRrekAY6Ys",931144.331234284,0,0,1.243683753,22.490994571,23.231570974,1.1615785487
"FugJZepeGfh1Ruunhep19JC4F3Hr2FL3oKUMezoK8ajp","7emL18Bnve7wbYE9Az7vYJjikxN6YPU81igf6rVU5FN8",897036.010807302,0,0,135.680954933,23.486483575,27.975860822,1.3987930411
"EfPYQ4BUMiKa6736qqrtnCBGkUSRDGSr1WvtyUgWHuyp","6x9uLhegx488uA3dPoq8DWHS488K4FsEqeeMXeW7kQPx",851132.741344125,8,8,151.329052482,5.208564046,21.802521038,1.0901260519
"2mMGsb5uy1Q4Dvezr8HK2E8SJoChcb2X7b61tJPaVHHd","CAf8jfgqhia5VNrEF4A7Y9VLD3numMq9DVSceq7cPhNY",848169.997093745,5,10,184.553738998,5.324054247,23.491615574,1.1745807787
"BfgMdL4FaNHp5zZpD7WMYG5sZUrCWQPEjXDwWS7M5q3F","BT8LZUvQVwFHRGw2Dwv7UeqDUq7btfjegLpuz5bwgziD",832830.891331829,0,0,173.770277203,0.650959033,31.140513983,1.55702569915
"AMukCLCr52XxsEjXoDxKKxjNg4FpnsReXNaQx8aR6DJF","71nnaeTyVeA4pTozAPjRuQyMydQTZCrFUkz7Pzy5tiDJ",830079.635494115,1,1,188.776702651,22.551660918,24.730238906,1.2365119453
"XkCriyrNwS3G4rzAXtG5B1nnvb5Ka1JtCku93VqeKAr","beefKGBWeSpHzYBHZXwp5So7wdQGX6mu4ZHCsH3uTar",828263.950294873,8,8,129.667166971,7.553658384,19.979398917,0.99896994585
