"pubkey","votekey","stake","commission","mev_commission","inflation","mev_rewards","block_rewards","dz_fee"
"7AGmaR23EUZFsxuyJ8VNUUPb7dzqY41uh9Tsjq7fQGVr","FqavJAnX2ioPssR7NkZnSU65fVLCr3AgnghuBKfSnePE",62719.304268473,0,0,22.899172278,0.687022285,0.70665131,0.0353325655
"vnd1Ps8w3fsi54qUMJxBhUWARES34Qw7JQXDZxvbysd","vnd1jskPHR2gfMtgTtq6xCwANrAiNbQTKgVBAJHnMke",62509.918103699,5,10,21.483071413,0.268509461,1.266951697,0.06334758485
"CiR8HNCfkjtcongPmP2DRdZPnFgjSbN5gsXdjmsXXHcB","7JZTyHRTmzHfmHH89uT9xKSKDVJ1VnNQ1FeTeM4iH3J2",61799.993013718,5,10,21.133965234,0.191953911,1.043562967,0.05217814835
"FoigPJ6kL6Gth5Er6t9d1Nkh96Skadqw63Ciyjxc1f8H","irKsY8c3sQur1XaYuQ811hzsEQJ5Hq3Yu3AAoXYnp8W",61384.588275614,10,100,21.327406899,0.098186788,0.79884511,0.0399422555
"odcvDWH5wHVKz9XtmGGxTj5ZsmawTjCCty3nyBKDGzS","odc2aCE7yWTcV8ApP1cHmVqQZTkLNduqaYyKE1XhpE3",61197.167341484,5,10,20.97696739,0.612114954,1.181113506,0.0590556753
"chrtyETASKQhsndRM9pr6qC3gAHG5MuRwCgXSNVqnJL","chrtyiAw8suFRvS7rTcfgcDyNu49bGPNZ2fjSPzNPFr",61189.491713717,5,10,17.601764764,0.233908154,0.617913939,0.03089569695
"ECZx4Dfyn2o55KTYbM9r3Dt4VZRcrdfdrst7sUbWgrdU","3VZHxnkK1A3HYeWYaqgMebHnc2acgLzRiXYwTNm3ooYM",60205.663278389,0,0,20.909275525,0.143571997,0.797996235,0.03989981175
"BP4XZG94R74uK5WgNewUa6uBcQGfmPtQnoVRpSYY31FV","BHuk6wv9pskvSuMxzAFksmFNxEWZDHDsYWSwvTKcCnhx",59908.301012148,0,7,21.308991559,0.584585798,0.576795692,0.0288397846
"CfXY2KyS6PvGW3oeSb7NCFZcswRZp2FAJY9E96hCvvVp","8wEfU2LDRFTJf57fv1FutTkp8LEW7cR2m5L7ZNNXXMCT",59782.007467109,0,0,21.864696009,0.773672814,0.762469569,0.03812347845
"9U4WqNGVywKt3gG9HSt9tGVXBDXJvgid6BVweRysaJmg","6hTLQ5HSdWcpZkbXmZxXaGjCgTh7zh8UeWKWKgGE1BPp",59656.562116715,100,100,20.915549431,0.201722604,0.813468593,0.04067342965
"3Pfubj3ytkRxFAGwFb5vtacuZJUxko5Du39xie9MBXuC","94EhHE7MaKHq4p8oFADeyizDjwYwgFn1YBYGky8mR35z",59614.699319636,0,1,20.007730414,0.264238725,1.093470186,0.0546735093
"FNTPSUuRpDoJx1hwFmB5ncNLLMX42aE83P4hsFYUfNRL","A9jRCzF4uxLVnVs8ihQECtZ5ZMbHUvoZusddxTQ1iRQc",59128.533255604,5,8,20.460725839,0.187062462,0.675175905,0.03375879525
"cybi55ebub37HZW9YmRaLh59Lh3kqaLTsEBQwW6vFkC","VaCdXKupamusfRsDf9Ai7e8Up36Z4f3MP6SqhnM7c76",58669.661963239,0,10,20.255547378,0.644686058,0.792498145,0.03962490725
"BCjGyexo1i7qpN9CbJ9Zt8avWr4Lb2JRtcm43sJvsgQK","7rwEPPMQgHr3mn5nQX27SADt3tR8yucBgsNapYdrqRhB",58585.892993724,0,0,20.107153347,0.402525355,0.356022248,0.0178011124
"2VKu11f8zc3huqDQUN6WJTFpX32PgHpXXjf72P6YvYMd","EUiPhYZ8NoWX5ZzDh2cRR1fAS4su9jjV3YE7veyactzd",58444.384287774,0,0,20.019959415,0.132026106,0.670732713,0.03353663565
"LodeuWMHPiPj2PUHUyca2bkpFv9HyzR3gaDBmGJ9TSS","LodezVTbz3v5GK6oULfWNFfcs7D4rtMZQkmRjnh65gq",58366.080983549,1,8,20.16407774,0.125201643,0.632692875,0.03163464375
"6mCzwUFcdTuz6fFJRA8nY1iXNRJqPpXU1PvCfANfVXhh","2juzdQw3k2udsuA2JfkXk4Aw4psZEAnnk4sBHzwC5ZX7",58173.902347154,0,0,19.767338821,0.939021322,0.984545694,0.0492272847
"3CKKAoVi94EnfX8QcVxEmk8CAvZTc6nAYzXp1WkSUofX","4MU64AyHBkRBUAYgAm91sP5vFgzUUgFHuS82CVhE8Q2Q",58076.571010129,0,0,20.040957171,0.145946113,0.794474203,0.03972371015
"PKdLMugp1Mf88Ji1GkdqRDBewaUh2cqg79CBEo6eJoQ","PKvGYwh4efgythYddWAqGaPVuoZt8ybk7eXEoUqWxuA",57711.960642061,0,0.03,7.893964727,0.009144304,0.616295679,0.03081478395
"bay3wXfJsu9ds1zQBoQQ4DUwFGs3NP6q4gca9WM5G1z","bay3rQMjiLPy6Nvi7tfNeVK26inBCxf88hKYyeKy64H",57527.176742546,0,0,19.554608382,0.338533073,0.777475171,0.03887375855
"CtzN7ysR5rX69qd168Aosbuc83mPozhi81bEHbG7ecNP","CtzNnqzSLwNtkzi2yEWvq4w3GYQ5gSpCagqFZ5TbdSKb",57520.644907131,5,10,19.489281616,0.160308523,0.810287854,0.0405143927
"UNrgBLmc8JT6A3dxXY9DWeHvDezt2DZQbhg1KPQfqEL","unRgBLTLNXdBmenHXNPAg3AMn3KWcV3Mk4eoZBmTrdk",57409.722189713,5,10,18.360410778,0.185578214,1.128512547,0.05642562735
"HSX42dhQPTaVjtwMQXwGTCobrs1HnxZ8G2J6JTnPXpgP","8ty86LdqsnSW4fpbZRFaR1EfgB3eUknJVz8BKY5izoWy",56940.634371374,20,0,19.790752059,0,0.647500123,0.03237500615
"AiBEt9kE8yZ4CnaLfTCGMp7Fg2wCtqhPTfvJ8D3zrLfu","H9p8zGs56CnL4b7RrbwQ6htc6V4K8PUtKvqH2m7hYAtL",56870.23125105,0,10,19.601204599,0.198379937,0.616470293,0.03082351465
"FSVdqBzx5D4UsqBLnvmH5dFx2dCm1pTPAbQWJ1PYzTJ2","2EWi8L6xp62VgTqFo3LnhoSP5sL9CWqYxvK7UA63qK9x",56114.234673564,5,10,13.402742993,0.125635846,0.50579958,0.025289979
"E6cyDdEH8fiyCTusmWcZVhapAvvp2LK24zMLg4KrrAkt","BohPTSY4vvjGd9ARFqDJjRaHZKP4bde7ewBq65WgRGmA",55984.508691568,5,0,19.328822297,0,0.720475024,0.0360237512
"sce2zXNjLpPMcSCATTrLiQhAAvHNNMKypTFVtg2H37U","9BSZriSFS8Yb835exZwTLN19Dqy9B43yvuMAAdL3nBvz",55877.681340487,10,0,19.348773192,0,0.524222888,0.0262111444
"scb2TYPmwHgKxXJaJNq6gHKwYkVyLKx58hz9RbCKZZR","FWwnxVb7Q59MoMraDN2k8gqkdJJVd2qu9o5iiQsxpoUp",55873.133549177,10,0,19.342356248,0,0.646177047,0.03230885235
"scb1Z7du8NVSaHFXsafSjRdXr6xBjWR3iugikL739Y1","95Kg9C27WjjrnQpgZ418hxWTeumPTyH1ENnBoimVN5PL",55863.950198246,10,0,19.379777262,0,0.80092373,0.0400461865
"scs1NCSTafrUX6RBx113B9YDCepo1QdEzU8WwEkf25i","2zxo26eJJSryYa5fdMRoWWvPTx8aoeqZHe6L4767sCaN",55862.29733233,10,0,19.408865312,0,0.9133279,0.045666395
"sce1oTWYVXv7a7Hy2skxREozs5nwkQ4wDT8XJSi5tgE","BRrgfW2AKKYYEGVU6j1mbnoQajHTRuUgXCAPPzFgcF9q",55835.175362105,10,0,19.386494743,0,0.569991085,0.02849955425
"sce3TfT81rxYYcdbP1kBFMcTK3ZBc8hvHVeXD6WLSzE","6CscV2sTXdurJKwuJ6RZnPKca6pNhqAhN57ygKga2T7G",55783.066615166,10,0,19.364657566,0,0.907084763,0.04535423815
"scs2Ra91pMbvqFAP7uitrN5U25SoyBTqZgBbhpVMJko","BjREhubbyR597w8tK9NUCLY74Zct2VuhvrNhyLinVc2e",55766.310027558,10,0,19.306751797,0,0.941577852,0.0470788926
"2Eq6YD8P8QXTeoz9h6JHjgZ55t8RSxNdx4waMDCoPmQU","C8MLmDCg3LReWoNCkFdHgsscFpHx2WdtcU9ZziNfXrhd",55500.785230119,5,10,19.160195003,0.070718364,0.533097714,0.0266548857
"3Q8GcTR6gUpFjSwjRuN6Bqy73xuJQHPKceuoDq8v18DC","4ZxDeRyvhXi7Bc23qPFkeZptzE8J54eimL8phVPN5AXa",55452.858488797,0,0,18.777398454,0.680883214,0.627084243,0.03135421215
"88K3vd8E7f2jXBwfNspzAYXKZuS7erF1w2wk3qcHTSfh","EbWmbjxUrq8uifB4gCJLaxv7joYmsXL4qVpX26xYMFBh",55046.398842381,0,7,19.022025594,0.072387615,0.372354906,0.0186177453
"2icWF7TvxyycF7d1NHpMZYuJJqiRy2h7wmjFSbqUij1B","CzGLRXJXoDo9q86MpphPVNNsTgAxHvZfUfAiouWDH89M",54893.856984349,0,0,19.064620812,0.118088942,0.617006574,0.0308503287
"mds2fZEpJP688PqJHvfLxGyf2VFrcNkvjuUxNYCwjrq","5cJyfCLBfghRtoCuVJNreJgNCStqXLrhHmRhSRYtbgtr",54836.957954427,10,0,19.052614934,0,1.599433552,0.0799716776
"mds1WWedpezW3qvgML4WgP341jZksYAy5SbMLwjP5KC","6zzAPhyFZgS6rdknHNZLcsoooZ744GtVmTDyfvRmN37Q",54709.476509612,10,0,19.008210965,0,0.970908116,0.0485454058
"DefiihS7gLkj6xLjjhcr87bFuwpVVNYpeNBaBeFe56CY","Defi89YpAhk3Gst1Jpsi3Nhj7yCu5HropESh37SQ2v9g",54569.486034716,5,10,17.978011563,0.163889865,0.481511975,0.02407559875
"EKHuz3Ag7UtYrEeterGVFHwYWDn2d6aXjnAAf2d5edLh","23utbQdXgsucDPTVcaRQiTZMrKPhQ1nmg4iRNdHDNwTb",54551.724975103,0,10,18.950277308,0.449560271,0.462700026,0.0231350013
